Tamaño del vector, Profundidad del merge, Tiempo del Merge, Profundidad del Quick, Tiempo del Quick
10,4,37,6,36
20,5,60,10,59
30,5,63,8,81
40,6,121,15,111
50,6,130,17,104
60,6,105,14,127
70,7,130,17,160
80,7,160,15,234
90,7,284,19,327
100,7,294,17,230
110,7,216,18,260
120,7,231,16,270
130,8,225,21,298
140,8,256,17,313
150,8,289,16,321
160,8,316,23,400
170,8,360,21,387
180,8,380,24,410
190,8,408,20,417
200,8,420,22,441
210,8,422,21,509
220,8,423,19,486
230,8,425,21,510
240,8,430,23,535
250,8,432,19,577
260,9,453,24,588
270,9,484,21,607
280,9,517,22,629
290,9,574,21,657
300,9,585,21,695
310,9,613,25,707
320,9,691,29,742
330,9,673,25,751
340,9,704,24,795
350,9,763,25,845
360,9,765,23,846
370,9,797,24,879
380,9,825,20,880
390,9,843,23,934
400,9,845,21,950
410,9,852,23,984
420,9,917,32,1027
430,9,861,23,1029
440,9,889,28,1059
450,9,873,23,1082
460,9,892,28,1116
470,9,868,26,1136
480,9,877,22,1149
490,9,877,25,1207
500,9,907,25,1190
510,9,885,26,1259
520,10,927,30,1312
530,10,963,24,1326
540,10,988,28,1320
550,10,1026,23,1396
560,10,1054,29,1382
570,10,1097,29,1402
580,10,1126,28,1449
590,10,1304,29,1797
600,10,1191,28,1956
610,10,1508,26,1522
620,10,1242,26,1562
630,10,1276,36,1581
640,10,1322,29,1599
650,10,1363,27,1646
660,10,1378,32,1717
670,10,1408,28,1707
680,10,1435,32,1741
690,10,1479,29,1751
700,10,1503,30,2884
710,10,2486,29,2908
720,10,1610,26,1836
730,10,1616,28,1847
740,10,1646,28,1886
750,10,2031,33,2262
760,10,1745,32,1959
770,10,1734,26,1973
780,10,2820,28,2352
790,10,1743,34,2174
800,10,1877,30,2449
810,10,1736,27,2137
820,10,1743,29,2161
830,10,1737,29,2168
840,10,1762,31,2209
850,10,1758,33,2270
860,10,1744,36,2310
870,10,1757,37,2360
880,10,1764,36,2339
890,10,1757,31,2364
900,10,1763,35,2477
910,10,1767,33,2439
920,10,1776,37,2454
930,10,1779,30,2471
940,10,1767,36,3205
950,10,1971,29,2536
960,10,1809,32,2576
970,10,1808,35,2947
980,10,2113,31,2688
990,10,1789,32,2696
1000,10,2498,33,4075
1010,10,2252,32,2745
1020,10,1793,33,2761
1030,11,1824,37,2813
1040,11,1895,35,2793
1050,11,1931,33,2840
1060,11,2004,34,2903
1070,11,2027,40,2957
1080,11,2003,35,2937
1090,11,3025,33,3312
1100,11,2104,35,3009
1110,11,2150,38,3011
1120,11,2159,32,3030
1130,11,2182,35,3086
1140,11,2219,30,3085
1150,11,2272,38,3128
1160,11,2297,36,3186
1170,11,2337,36,3178
1180,11,2345,32,3770
1190,11,2416,34,3214
1200,11,2411,35,3252
1210,11,2433,34,3365
1220,11,2491,33,3328
1230,11,2497,36,3419
1240,11,2542,40,3404
1250,11,2560,31,3392
1260,11,2600,43,3558
1270,11,2624,34,3477
1280,11,2686,38,3571
1290,11,2701,36,3554
1300,11,2730,37,3628
1310,11,2767,34,3588
1320,11,2776,37,3652
1330,11,2817,42,3662
1340,11,2844,37,3705
1350,11,2874,38,3699
1360,11,2903,41,3778
1370,11,2940,38,3841
1380,11,2961,38,3818
1390,11,3031,35,3854
1400,11,3030,33,3873
1410,11,3059,34,3913
1420,11,3102,40,4092
1430,11,3139,42,5042
1440,11,5428,43,6731
1450,11,5371,36,6679
1460,11,5163,45,6387
1470,11,5175,42,6843
1480,11,5527,35,6850
1490,11,5546,40,7025
1500,11,5629,38,6969
1510,11,5667,41,7083
1520,11,5730,36,7046
1530,11,5172,48,5074
1540,11,3480,40,4343
1550,11,3467,40,4316
1560,11,3478,40,4396
1570,11,3510,43,4434
1580,11,3484,40,4438
1590,11,3493,36,4446
1600,11,3507,39,4498
1610,11,3523,36,4508
1620,11,3499,40,4539
1630,11,3501,43,4570
1640,11,3498,39,4596
1650,11,3519,41,4709
1660,11,3511,41,5530
1670,11,3544,48,4724
1680,11,3558,43,4753
1690,11,3542,44,4778
1700,11,3573,47,4852
1710,11,3562,44,4882
1720,11,3539,40,4934
1730,11,3587,40,5334
1740,11,3565,41,4954
1750,11,3578,45,4970
1760,11,3564,48,5062
1770,11,3566,50,5181
1780,11,3573,41,5018
1790,11,3589,44,5045
