Archivo,Número de puntos,Dimensiones,Tamaño de solución,LRC,Valor Objetivo,Iteraciones,Puntos de solución,Tiempo de Ejecución
"max_div_30_2.txt",10,30,2,2,2,11.657144,10,27 8 ,0.000286
"max_div_30_2.txt",20,30,2,2,2,11.657144,20,27 8 ,0.000460
"max_div_30_2.txt",30,30,2,2,2,11.657144,30,8 27 ,0.000588
"max_div_30_2.txt",40,30,2,2,2,11.657144,40,8 27 ,0.001009
"max_div_30_2.txt",50,30,2,2,2,11.657144,50,8 27 ,0.001587
"max_div_30_2.txt",10,30,2,2,3,11.657144,10,8 27 ,0.000256
"max_div_30_2.txt",20,30,2,2,3,11.657144,20,8 27 ,0.000383
"max_div_30_2.txt",30,30,2,2,3,11.657144,30,27 8 ,0.000573
"max_div_30_2.txt",40,30,2,2,3,11.657144,40,8 27 ,0.000734
"max_div_30_2.txt",50,30,2,2,3,11.657144,50,27 8 ,0.000883
"max_div_30_2.txt",10,30,2,2,4,11.657144,10,8 27 ,0.000220
"max_div_30_2.txt",20,30,2,2,4,11.657144,20,8 27 ,0.000383
"max_div_30_2.txt",30,30,2,2,4,11.657144,30,8 27 ,0.000559
"max_div_30_2.txt",40,30,2,2,4,11.657144,40,8 27 ,0.000728
"max_div_30_2.txt",50,30,2,2,4,11.657144,50,8 27 ,0.000881
"max_div_30_2.txt",10,30,2,2,5,11.657144,10,8 27 ,0.000206
"max_div_30_2.txt",20,30,2,2,5,11.657144,20,27 8 ,0.000396
"max_div_30_2.txt",30,30,2,2,5,11.657144,30,8 27 ,0.000550
"max_div_30_2.txt",40,30,2,2,5,11.657144,40,27 8 ,0.000726
"max_div_30_2.txt",50,30,2,2,5,11.657144,50,27 8 ,0.000883
"max_div_30_2.txt",10,30,2,3,2,28.944300,10,27 8 1 ,0.000321
"max_div_30_2.txt",20,30,2,3,2,28.944300,20,27 1 8 ,0.000602
"max_div_30_2.txt",30,30,2,3,2,28.944300,30,27 1 8 ,0.000934
"max_div_30_2.txt",40,30,2,3,2,28.944300,40,27 8 1 ,0.001124
"max_div_30_2.txt",50,30,2,3,2,28.944300,50,27 8 1 ,0.001424
"max_div_30_2.txt",10,30,2,3,3,28.944300,10,27 8 1 ,0.000321
"max_div_30_2.txt",20,30,2,3,3,28.944300,20,27 1 8 ,0.000600
"max_div_30_2.txt",30,30,2,3,3,28.944300,30,27 8 1 ,0.000884
"max_div_30_2.txt",40,30,2,3,3,28.944300,40,27 1 8 ,0.001128
"max_div_30_2.txt",50,30,2,3,3,28.944300,50,27 1 8 ,0.001431
"max_div_30_2.txt",10,30,2,3,4,28.944300,10,27 1 8 ,0.000318
"max_div_30_2.txt",20,30,2,3,4,28.944300,20,27 8 1 ,0.000600
"max_div_30_2.txt",30,30,2,3,4,28.944300,30,27 8 1 ,0.000891
"max_div_30_2.txt",40,30,2,3,4,28.944300,40,27 1 8 ,0.001187
"max_div_30_2.txt",50,30,2,3,4,28.944300,50,27 8 1 ,0.001438
"max_div_30_2.txt",10,30,2,3,5,28.944300,10,27 8 1 ,0.000316
"max_div_30_2.txt",20,30,2,3,5,28.944300,20,27 1 8 ,0.000607
"max_div_30_2.txt",30,30,2,3,5,28.944300,30,27 1 8 ,0.000882
"max_div_30_2.txt",40,30,2,3,5,28.944300,40,27 8 1 ,0.001142
"max_div_30_2.txt",50,30,2,3,5,28.944300,50,27 8 1 ,0.001427
"max_div_30_2.txt",10,30,2,4,2,52.771171,10,1 10 8 27 ,0.000467
"max_div_30_2.txt",20,30,2,4,2,52.771171,20,8 27 1 10 ,0.000872
"max_div_30_2.txt",30,30,2,4,2,52.771171,30,8 27 1 10 ,0.001252
"max_div_30_2.txt",40,30,2,4,2,52.771171,40,27 10 1 8 ,0.001657
"max_div_30_2.txt",50,30,2,4,2,52.771171,50,27 8 1 10 ,0.002061
"max_div_30_2.txt",10,30,2,4,3,52.771171,10,27 8 1 10 ,0.000447
"max_div_30_2.txt",20,30,2,4,3,52.771171,20,27 1 8 10 ,0.000873
"max_div_30_2.txt",30,30,2,4,3,52.771171,30,27 8 1 10 ,0.001249
"max_div_30_2.txt",40,30,2,4,3,52.771171,40,1 10 27 8 ,0.001693
"max_div_30_2.txt",50,30,2,4,3,52.771171,50,8 27 1 10 ,0.002075
"max_div_30_2.txt",10,30,2,4,4,52.771171,10,1 8 10 27 ,0.000454
"max_div_30_2.txt",20,30,2,4,4,52.771171,20,1 27 8 10 ,0.000866
"max_div_30_2.txt",30,30,2,4,4,52.771171,30,27 1 10 8 ,0.001251
"max_div_30_2.txt",40,30,2,4,4,52.771171,40,27 10 1 8 ,0.001679
"max_div_30_2.txt",50,30,2,4,4,52.771171,50,10 1 8 27 ,0.002070
"max_div_30_2.txt",10,30,2,4,5,52.771171,10,27 8 10 1 ,0.000457
"max_div_30_2.txt",20,30,2,4,5,52.771171,20,10 1 27 8 ,0.000868
"max_div_30_2.txt",30,30,2,4,5,52.771171,30,1 10 8 27 ,0.002197
"max_div_30_2.txt",40,30,2,4,5,52.771171,40,10 1 8 27 ,0.002665
"max_div_30_2.txt",50,30,2,4,5,52.771171,50,10 1 27 8 ,0.002887
"max_div_30_2.txt",10,30,2,5,2,80.910241,10,27 8 1 12 10 ,0.000828
"max_div_30_2.txt",20,30,2,5,2,80.910241,20,8 12 1 10 27 ,0.002136
"max_div_30_2.txt",30,30,2,5,2,80.910241,30,8 12 1 27 10 ,0.001847
"max_div_30_2.txt",40,30,2,5,2,80.910241,40,8 12 1 27 10 ,0.003549
"max_div_30_2.txt",50,30,2,5,2,80.910241,50,27 8 1 12 10 ,0.003504
"max_div_30_2.txt",10,30,2,5,3,80.910241,10,1 10 27 8 12 ,0.000638
"max_div_30_2.txt",20,30,2,5,3,80.910241,20,27 8 10 12 1 ,0.001181
"max_div_30_2.txt",30,30,2,5,3,80.910241,30,1 27 12 10 8 ,0.001734
"max_div_30_2.txt",40,30,2,5,3,80.910241,40,1 27 12 10 8 ,0.002299
"max_div_30_2.txt",50,30,2,5,3,80.910241,50,1 27 12 10 8 ,0.002842
"max_div_30_2.txt",10,30,2,5,4,80.910241,10,1 12 10 27 8 ,0.000612
"max_div_30_2.txt",20,30,2,5,4,80.910241,20,8 27 12 1 10 ,0.001202
"max_div_30_2.txt",30,30,2,5,4,80.910241,30,10 1 8 27 12 ,0.001729
