Archivo,Número de puntos,Dimensiones,Tamaño de solución,LRC,Valor Objetivo,Puntos de solución,Tiempo de Ejecución
"max_div_30_2.txt",30,2,2,2,11.657144,(2.070000 | 0.270000) (9.840000 | 8.960000) ,0.000027
"max_div_30_2.txt",30,2,2,3,10.110045,(1.910000 | 9.600000) (8.000000 | 1.530000) ,0.000025
"max_div_30_2.txt",30,2,2,4,10.904696,(9.840000 | 8.960000) (2.020000 | 1.360000) ,0.000026
"max_div_30_2.txt",30,2,2,5,9.235979,(8.000000 | 1.530000) (2.930000 | 9.250000) ,0.000024
"max_div_30_2.txt",30,2,3,2,23.374602,(2.070000 | 0.270000) (8.400000 | 7.980000) (9.840000 | 8.960000) ,0.000037
"max_div_30_2.txt",30,2,3,3,25.781366,(9.840000 | 8.960000) (0.650000 | 3.260000) (2.070000 | 0.270000) ,0.000036
"max_div_30_2.txt",30,2,3,4,24.333195,(8.000000 | 1.530000) (1.910000 | 9.600000) (2.020000 | 1.360000) ,0.000034
"max_div_30_2.txt",30,2,3,5,20.807213,(8.000000 | 1.530000) (2.070000 | 6.840000) (5.650000 | 9.550000) ,0.000033
"max_div_30_2.txt",30,2,4,2,46.573013,(2.070000 | 0.270000) (8.400000 | 7.980000) (9.840000 | 8.960000) (0.650000 | 3.260000) ,0.000047
"max_div_30_2.txt",30,2,4,3,39.776938,(1.910000 | 9.600000) (7.950000 | 3.000000) (8.000000 | 1.530000) (1.370000 | 8.090000) ,0.000047
"max_div_30_2.txt",30,2,4,4,48.452908,(1.910000 | 9.600000) (7.950000 | 3.000000) (9.840000 | 8.960000) (2.020000 | 1.360000) ,0.000041
"max_div_30_2.txt",30,2,4,5,46.730051,(1.910000 | 9.600000) (9.320000 | 5.140000) (2.070000 | 0.270000) (8.000000 | 1.530000) ,0.000043
"max_div_30_2.txt",30,2,5,2,78.639205,(9.840000 | 8.960000) (2.070000 | 0.270000) (1.910000 | 9.600000) (2.020000 | 1.360000) (9.320000 | 5.140000) ,0.000057
"max_div_30_2.txt",30,2,5,3,77.942675,(2.070000 | 0.270000) (9.840000 | 8.960000) (1.910000 | 9.600000) (2.830000 | 1.160000) (9.320000 | 5.140000) ,0.000045
