Archivo,Número de puntos,Dimensiones,Tamaño de solución,Valor Objetivo,Puntos de solución,Nodos Generados,Tiempo de Ejecución
"max_div_30_2.txt",30,2,2,11.657144,8 27 ,30,0.000058
"max_div_30_2.txt",30,2,3,28.944300,27 1 8 ,11050,0.002835
"max_div_30_2.txt",30,2,4,52.771171,8 27 1 10 ,204012,0.079329
"max_div_30_2.txt",30,2,5,80.910241,1 12 10 27 8 ,5419212,2.709704
"max_div_20_3.txt",20,3,2,11.800309,12 13 ,20,0.000031
"max_div_20_3.txt",20,3,3,30.872658,12 13 7 ,2414,0.000723
"max_div_20_3.txt",20,3,4,56.690310,13 12 16 2 ,39676,0.014284
"max_div_20_3.txt",20,3,5,92.829743,2 7 12 13 16 ,254692,0.203577
"max_div_15_3.txt",15,3,2,13.273240,11 8 ,15,0.000018
"max_div_15_3.txt",15,3,3,31.868526,4 6 11 ,2311,0.000629
"max_div_15_3.txt",15,3,4,59.763759,4 10 11 8 ,23781,0.007379
"max_div_15_3.txt",15,3,5,96.085832,11 13 3 8 4 ,223791,0.107388
"max_div_15_2.txt",15,2,2,11.859216,8 6 ,15,0.000019
"max_div_15_2.txt",15,2,3,27.372700,0 6 8 ,2115,0.000963
"max_div_15_2.txt",15,2,4,49.826781,0 5 8 6 ,28240,0.018086
"max_div_15_2.txt",15,2,5,79.129530,0 5 8 3 6 ,309975,0.145149
"max_div_30_3.txt",30,3,2,13.073737,16 6 ,30,0.000058
"max_div_30_3.txt",30,3,3,34.290529,5 16 23 ,7744,0.002226
"max_div_30_3.txt",30,3,4,63.701960,5 16 13 23 ,120572,0.054977
"max_div_30_3.txt",30,3,5,99.592041,5 14 13 16 23 ,2782519,1.747088
"max_div_20_2.txt",20,2,2,8.510329,17 18 ,20,0.000033
"max_div_20_2.txt",20,2,3,21.996086,8 17 18 ,2718,0.000768
"max_div_20_2.txt",20,2,4,40.002258,2 18 1 8 ,52114,0.017647
"max_div_20_2.txt",20,2,5,63.651679,8 13 17 18 1 ,636849,0.330744
