Archivo,Número de puntos,Dimensiones,Tamaño de solución,Valor Objetivo,Puntos de solución,Tiempo de Ejecución
"max_div_30_2.txt",30,2,2,11.657144,(9.840000 | 8.960000) (2.070000 | 0.270000) ,0.000006
"max_div_30_2.txt",30,2,3,28.944300,(9.840000 | 8.960000) (2.070000 | 0.270000) (1.910000 | 9.600000) ,0.000004
"max_div_30_2.txt",30,2,4,52.771171,(9.840000 | 8.960000) (2.070000 | 0.270000) (1.910000 | 9.600000) (8.000000 | 1.530000) ,0.000005
"max_div_30_2.txt",30,2,5,80.910241,(9.840000 | 8.960000) (2.070000 | 0.270000) (1.910000 | 9.600000) (8.000000 | 1.530000) (0.650000 | 3.260000) ,0.000007
"max_div_20_3.txt",20,3,2,11.800309,(9.810000 | 2.050000 | 1.830000) (0.650000 | 3.760000 | 9.070000) ,0.000005
"max_div_20_3.txt",20,3,3,30.872658,(9.810000 | 2.050000 | 1.830000) (0.650000 | 3.760000 | 9.070000) (8.870000 | 9.560000 | 5.340000) ,0.000004
"max_div_20_3.txt",20,3,4,56.534726,(9.810000 | 2.050000 | 1.830000) (0.650000 | 3.760000 | 9.070000) (8.870000 | 9.560000 | 5.340000) (0.830000 | 7.060000 | 3.340000) ,0.000006
"max_div_20_3.txt",20,3,5,92.829743,(9.810000 | 2.050000 | 1.830000) (0.650000 | 3.760000 | 9.070000) (8.870000 | 9.560000 | 5.340000) (0.830000 | 7.060000 | 3.340000) (9.600000 | 2.020000 | 9.000000) ,0.000007
"max_div_15_3.txt",15,3,2,13.273240,(9.880000 | 9.880000 | 6.260000) (0.300000 | 0.920000 | 4.230000) ,0.000005
"max_div_15_3.txt",15,3,3,30.324088,(9.880000 | 9.880000 | 6.260000) (0.300000 | 0.920000 | 4.230000) (1.710000 | 1.950000 | 9.220000) ,0.000005
"max_div_15_3.txt",15,3,4,59.763759,(9.880000 | 9.880000 | 6.260000) (0.300000 | 0.920000 | 4.230000) (1.710000 | 1.950000 | 9.220000) (6.650000 | 9.450000 | 1.020000) ,0.000006
"max_div_15_3.txt",15,3,5,94.748719,(9.880000 | 9.880000 | 6.260000) (0.300000 | 0.920000 | 4.230000) (1.710000 | 1.950000 | 9.220000) (6.650000 | 9.450000 | 1.020000) (9.470000 | 3.560000 | 1.830000) ,0.000006
"max_div_15_2.txt",15,2,2,11.859216,(8.650000 | 9.980000) (0.580000 | 1.290000) ,0.000004
"max_div_15_2.txt",15,2,3,25.726200,(8.650000 | 9.980000) (0.580000 | 1.290000) (9.960000 | 8.170000) ,0.000005
"max_div_15_2.txt",15,2,4,48.413931,(8.650000 | 9.980000) (0.580000 | 1.290000) (9.960000 | 8.170000) (1.590000 | 1.570000) ,0.000005
"max_div_15_2.txt",15,2,5,73.561899,(8.650000 | 9.980000) (0.580000 | 1.290000) (9.960000 | 8.170000) (1.590000 | 1.570000) (8.410000 | 9.980000) ,0.000006
"max_div_30_3.txt",30,3,2,13.073737,(8.060000 | 9.590000 | 0.270000) (6.710000 | 0.350000 | 9.420000) ,0.000007
"max_div_30_3.txt",30,3,3,33.842259,(8.060000 | 9.590000 | 0.270000) (6.710000 | 0.350000 | 9.420000) (1.530000 | 8.090000 | 9.560000) ,0.000004
"max_div_30_3.txt",30,3,4,63.518414,(8.060000 | 9.590000 | 0.270000) (6.710000 | 0.350000 | 9.420000) (1.530000 | 8.090000 | 9.560000) (6.750000 | 0.070000 | 1.800000) ,0.000005
"max_div_30_3.txt",30,3,5,99.508836,(8.060000 | 9.590000 | 0.270000) (6.710000 | 0.350000 | 9.420000) (1.530000 | 8.090000 | 9.560000) (6.750000 | 0.070000 | 1.800000) (7.540000 | 8.930000 | 9.660000) ,0.000009
"max_div_20_2.txt",20,2,2,8.510329,(0.630000 | 5.960000) (8.670000 | 3.170000) ,0.000005
"max_div_20_2.txt",20,2,3,21.996086,(0.630000 | 5.960000) (8.670000 | 3.170000) (8.570000 | 8.360000) ,0.000003
"max_div_20_2.txt",20,2,4,39.568229,(0.630000 | 5.960000) (8.670000 | 3.170000) (8.570000 | 8.360000) (1.160000 | 4.470000) ,0.000006
"max_div_20_2.txt",20,2,5,61.239291,(0.630000 | 5.960000) (8.670000 | 3.170000) (8.570000 | 8.360000) (1.160000 | 4.470000) (8.780000 | 7.430000) ,0.000006
